date,mean_temp,max_temp,min_temp,rain
Jan-70,4.8,12.3,-6.5,62.5
Feb-70,3.9,11.8,-2.9,60.4
Mar-70,4.9,13.7,-2.4,32.5
Apr-70,7,16.3,-2.1,85.3
May-70,12.3,20,6.9,13.2
Jun-70,15.1,24.1,9.1,31.6
Jul-70,14.6,22.8,6.2,68.2
Aug-70,14.7,23.5,6.7,68.3
Sep-70,13.4,21.1,5.4,53.8
Oct-70,10.8,17.8,3.3,59.2
Nov-70,7.6,15.4,-0.4,128
Dec-70,5.6,12.6,-2.7,50.6
Jan-71,6,16.6,-3.7,39.4
Feb-71,5.9,11.1,-2.7,39.7
Mar-71,5.9,12.2,0.5,78.8
Apr-71,7.7,15.1,0.7,52.4
May-71,10.4,19.7,3,34
Jun-71,12.3,20.2,3.9,71.8
Jul-71,15.7,23.8,5.4,62.8
Aug-71,14.7,21.3,7.2,66.9
Sep-71,14.7,22.3,5.1,27
Oct-71,12.6,21.2,3.7,34.4
Nov-71,7.2,16.2,-1.8,48
Dec-71,7.8,14.7,-0.1,36.4
Jan-72,4.9,12.1,-8.8,110.6
Feb-72,5.6,10.3,0.7,59.7
Mar-72,6.4,14,0,50.1
Apr-72,8.5,17.1,1.9,49.2
May-72,10.1,16.7,3.1,66.7
Jun-72,11.3,18.4,5.1,58.6
Jul-72,14.9,22.8,7,41.1
Aug-72,13.9,20.7,6.5,24
Sep-72,12.2,22.6,2.4,7.5
Oct-72,11.3,17.5,1.4,40.8
Nov-72,6.3,16,-3.4,78.2
Dec-72,7.3,14.4,-1.5,82.6
Jan-73,6.6,12.9,-4.4,52.2
Feb-73,5.4,11.7,-4,32.5
Mar-73,6.9,16.9,-0.8,11.1
Apr-73,7.3,15.7,-2.5,48.1
May-73,10.6,17.2,1.5,70.9
Jun-73,14.3,23.2,3.9,20.2
Jul-73,14.8,24.2,6.3,72.8
Aug-73,15.2,22.8,7.1,108.9
Sep-73,13.5,22.5,4.9,76.2
Oct-73,10,16.4,0.2,59.2
Nov-73,6.9,14.6,-1.9,60.8
Dec-73,5.8,12.2,-2,72.7
Jan-74,7,12.8,0,81.4
Feb-74,5.9,11.7,-0.6,50.9
Mar-74,6.2,13.8,-1.1,31.7
Apr-74,7.9,14.4,0.5,43.4
May-74,10.2,17.6,2.7,87.6
Jun-74,12.7,21.7,4.3,39.5
Jul-74,14.3,22.3,7,99.7
Aug-74,14.4,21.5,5.7,30.2
Sep-74,11.1,18,1.7,116
Oct-74,7.9,13.4,0.6,26.6
Nov-74,6.4,13.3,-2.4,57.7
Dec-74,8.3,13.9,0.9,37.9
Jan-75,6.6,12.8,-1.3,82.6
Feb-75,6.3,12.1,1.4,26.2
Mar-75,5.5,12.7,-2.2,43.3
Apr-75,8.5,19.2,-1.7,42.8
May-75,9.4,19.5,1.7,43.4
Jun-75,14,23.5,2.4,14.9
Jul-75,16.4,23.6,9,27.8
Aug-75,16.3,26.4,6.2,35.9
Sep-75,12.3,21.4,4.2,124.3
Oct-75,11.2,17.8,1.8,55.1
Nov-75,7.3,13.9,-0.6,54.3
