"Seq1.bam"	"Seq2.bam"	"Seq3.bam"	"Seq4.bam"	"Seq5.bam"	"Seq6.bam"
"BQ2027_MB0001"	1258	1355	1257	1330	1191	1574
"BQ2027_MB0002"	812	814	816	608	550	629
"BQ2027_MB0003"	201	203	217	241	169	225
"BQ2027_MB0004"	214	188	176	243	167	221
"BQ2027_MB0005"	4174	3876	4063	7330	5499	8132
"BQ2027_MB0006"	2640	2570	2764	5335	4072	5554
"BQ2027_MB0007"	1054	890	1161	1509	1221	1312
"BQ2027_MB0008c"	542	446	565	464	386	473
"BQ2027_MB0009"	5808	4582	5664	3369	2678	3265
"BQ2027_MB0010c"	662	677	793	738	616	711
"BQ2027_MB0011c"	711	846	785	812	639	769
"BQ2027_MB0012"	1110	1067	1209	1405	997	1314
"BQ2027_MB0013"	478	504	487	600	503	585
"BQ2027_MB0014c"	1048	1047	1059	1682	1381	1919
"BQ2027_MB0015c"	1117	933	1419	1700	1439	1670
"BQ2027_MB0016c"	2043	1908	2258	2737	2382	2887
"BQ2027_MB0017c"	813	904	877	1171	905	1200
"BQ2027_MB0018c"	1498	1337	1564	1982	1490	1822
"BQ2027_MB0019c"	849	762	891	1159	923	1214
"BQ2027_MB0020c"	7697	6522	9150	9047	6980	7996
"BQ2027_MB0021c"	522	580	703	314	229	245
"BQ2027_MB0022c"	97	69	109	25	10	21
"BQ2027_MB0023"	322	305	365	279	245	271
"BQ2027_MB0024"	315	263	354	300	227	305
"BQ2027_MB0025"	0	0	0	3	0	1
"BQ2027_MB0026"	197	216	197	514	433	601
"BQ2027_MB0027"	596	592	754	780	630	806
"BQ2027_MB0028"	463	466	563	881	699	1021
"BQ2027_MB0029"	344	386	376	507	418	565
"BQ2027_MB0030"	584	596	707	567	426	511
"BQ2027_MB0031"	240	238	329	162	98	127
"BQ2027_MB0032"	222	310	332	75	69	96
"BQ2027_MB0033"	280	269	288	177	128	172
"BQ2027_MB0034"	37	32	31	14	12	27
"BQ2027_MB0035"	16	15	30	6	11	12
"BQ2027_MB0036"	272	314	331	226	198	241
"BQ2027_MB0037c"	646	552	667	544	434	497
"BQ2027_MB0038c"	363	312	394	284	216	200
"BQ2027_MB0039"	924	925	973	2536	1937	2301
"BQ2027_MB0040c"	356	303	419	534	396	456
"BQ2027_MB0041c"	551	456	667	805	565	622
"BQ2027_MB0042"	1720	1832	1864	1171	932	1028
"BQ2027_MB0043c"	617	602	612	677	565	771
"BQ2027_MB0044c"	491	530	565	665	539	635
"BQ2027_MB0045c"	320	275	308	321	222	276
"BQ2027_MB0046c"	727	716	826	728	540	636
"BQ2027_MB0047c"	3767	3162	3522	3625	2641	3714
"BQ2027_MB0048c"	2922	2703	2623	1983	1464	1848
"BQ2027_MB0049c"	348	322	345	452	285	342
"BQ2027_MB0050"	1241	1184	1384	1256	945	1097
"BQ2027_MB0051"	2183	1796	2328	3168	2635	2926
"BQ2027_MB0052"	345	362	403	783	646	743
"BQ2027_MB0053"	137	148	164	282	220	268
"BQ2027_MB0054"	766	614	793	379	309	411
"BQ2027_MB0055"	3256	2745	2903	1129	884	1156
"BQ2027_MB0056"	1358	1525	1361	583	486	664
"BQ2027_MB0057"	1790	1754	1698	896	688	854
"BQ2027_MB0058"	755	627	711	664	541	641
"BQ2027_MB0059"	4236	4072	4283	2387	1743	2279
"BQ2027_MB0060"	304	317	309	233	190	255
"BQ2027_MB0061"	3606	3879	3425	2275	1765	2454
"BQ2027_MB0062A"	721	787	797	527	416	559
"BQ2027_MB0063"	1099	666	1063	520	462	524
"BQ2027_MB0064"	327	293	384	545	411	486
"BQ2027_MB0065"	2175	2204	2260	3720	2524	3270
"BQ2027_MB0065A"	561	642	546	548	306	393
"BQ2027_MB0066"	2414	2302	2657	1576	961	1453
"BQ2027_MB0067c"	3755	3721	3736	2382	1992	2516
"BQ2027_MB0068c"	272	301	331	191	143	138
"BQ2027_MB0069"	267	168	276	144	72	144
"BQ2027_MB0070c"	291	266	316	214	211	281
"BQ2027_MB0071c"	385	341	445	144	144	157
"BQ2027_MB0072"	221	219	263	224	170	200
"BQ2027_MB0073"	603	595	600	1022	819	1114
"BQ2027_MB0074"	277	234	266	614	572	753
"BQ2027_MB0075"	12	11	8	27	24	38
"BQ2027_MB0076"	228	210	245	489	343	543
"BQ2027_MB0077"	581	617	749	268	223	332
"BQ2027_MB0078c"	504	477	605	162	115	135
"BQ2027_MB0079c"	4250	4027	5406	1123	791	953
"BQ2027_MB0080"	231	225	287	223	168	173
